,moviename,movierating,movieduration,movievoting
0,1. Kraven the Hunter,5.4,2h 7m, (44K)
1,2. Gladiator II,6.6,2h 28m, (216K)
2,3. Sonic the Hedgehog 3,6.9,1h 50m, (52K)
3,4. Venom: The Last Dance,6.0,1h 50m, (107K)
4,5. Dune: Part Two,8.5,2h 46m, (612K)
5,6. Pushpa: The Rule - Part 2,6.1,3h 21m, (54K)
6,7. William Tell,5.8,2h 13m, (1.7K)
7,8. Elevation,5.6,1h 31m, (19K)
8,9. The Lord of the Rings: The War of the Rohirrim,6.3,2h 14m, (28K)
9,10. The Ministry of Ungentlemanly Warfare,6.8,2h 2m, (132K)
10,11. Furiosa: A Mad Max Saga,7.5,2h 28m, (280K)
11,12. Deadpool & Wolverine,7.6,2h 8m, (479K)
12,13. Borderlands,4.7,1h 41m, (45K)
13,14. Hellboy: The Crooked Man,4.5,1h 39m, (12K)
14,15. Twisters,6.5,2h 2m, (160K)
15,16. Civil War,7.0,1h 49m, (232K)
16,17. Old Guy,5.1,1h 34m, (1.7K)
17,18. The Count of Monte-Cristo,7.6,2h 58m, (32K)
18,19. The Beekeeper,6.3,1h 45m, (153K)
19,20. Carry-On,6.5,1h 59m, (159K)
20,21. Marco,6.9,2h 25m, (20K)
21,22. The Fall Guy,6.8,2h 6m, (216K)
22,23. Rebel Ridge,6.8,2h 11m, (86K)
23,24. Homestead,5.4,1h 52m, (3.3K)
24,25. The Crow,4.7,1h 51m, (32K)
25,26. Thelma,7.0,1h 38m, (21K)
26,27. Kingdom of the Planet of the Apes,6.9,2h 25m, (149K)
27,28. Road House,6.2,2h 1m, (166K)
28,29. Red One,6.3,2h 3m, (137K)
29,30. Transformers One,7.6,1h 44m, (47K)
30,31. Solo Leveling: ReAwakening,8.7,2h 1m, (6.8K)
31,32. Bad Boys: Ride or Die,6.5,1h 55m, (98K)
32,33. Love Lies Bleeding,6.6,1h 44m, (56K)
33,34. Damsel,6.1,1h 50m, (108K)
34,35. Land of Bad,6.6,1h 53m, (50K)
35,36. The Killer's Game,5.7,1h 44m, (16K)
36,37. Argylle,5.6,2h 19m, (91K)
37,38. Madame Web,4.0,1h 56m, (99K)
38,39. Godzilla x Kong: The New Empire,6.1,1h 55m, (119K)
39,40. Dirty Angels,4.3,1h 44m, (3.1K)
40,41. The Union,5.4,1h 47m, (52K)
41,42. Monkey Man,6.8,2h 1m, (90K)
42,43. Aftermath,5.1,1h 37m, (3.4K)
43,44. Azrael,5.4,1h 26m, (10K)
44,45. Freaky Tales,6.4,1h 46m, (364)
45,46. Attack on Titan the Movie: The Last Attack,9.3,2h 25m, (14K)
46,47. Drive-Away Dolls,5.4,1h 24m, (23K)
47,48. Werewolves,4.4,1h 33m, (6K)
48,49. Uglies,4.7,1h 40m, (32K)
49,50. Kung Fu Panda 4,6.3,1h 34m, (67K)
50,51. Absolution,5.2,1h 52m, (7.4K)
51,52. Arcadian,5.5,1h 32m, (22K)
52,53. Blitz,6.2,2h, (16K)
53,54. The Instigators,6.2,1h 41m, (37K)
54,55. Lift,5.5,1h 47m, (49K)
55,56. Beverly Hills Cop: Axel F,6.4,1h 58m, (80K)
56,57. The Killer,5.7,2h 6m, (12K)
57,58. Hitpig,5.1,1h 26m, (829)
58,59. Apocalypse Z: The Beginning of the End,6.1,1h 57m, (19K)
59,60. The Silent Hour,6.1,1h 39m, (7K)
60,61. Maharaja,8.4,2h 21m, (65K)
61,62. Classified,3.6,1h 45m, (2.2K)
62,63. Kalki 2898-AD,7.0,3h, (66K)
63,64. Descendants: The Rise of Red,4.7,1h 31m, (6.9K)
64,65. Brothers,5.4,1h 29m, (13K)
65,66. Atlas,5.6,1h 58m, (55K)
66,67. Canary Black,5.4,1h 41m, (11K)
67,68. Baby John,5.4,2h 39m, (17K)
68,69. Survive,4.6,1h 30m, (2K)
69,70. Long Gone Heroes,5.2,1h 41m, (967)
70,71. Weekend in Taipei,5.7,1h 40m, (4.4K)
71,72. Watchmen: Chapter I,7.0,1h 23m, (6.3K)
72,73. Rebel Moon - Part Two: The Scargiver,5.3,2h 2m, (59K)
73,74. Gunner,3.2,1h 46m, (2.3K)
74,75. Hagen,6.1,2h 19m, (1K)
75,76. Jackpot!,5.8,1h 46m, (30K)
76,77. Cash Out,4.8,1h 32m, (2.8K)
77,78. Under Paris,5.2,1h 44m, (36K)
78,79. Levels,5.0,1h 33m, (1.4K)
79,80. Dominique,5.3,1h 40m, (2.1K)
80,81. The Shadow Strays,6.5,2h 24m, (8.9K)
81,82. Armor,3.5,1h 29m, (3.6K)
82,83. Trigger Warning,4.6,1h 46m, (19K)
83,84. Agents,3.7,1h 22m, (889)
84,85. Twilight of the Warriors: Walled In,7.0,2h 6m, (8.9K)
85,86. Aavesham,7.8,2h 35m, (27K)
86,87. Hounds of War,4.5,1h 35m, (1.7K)
87,88. Boneyard,4.1,1h 36m, (4.8K)
88,89. Jacob Tyler,4.8,2h 13m, (43)
89,90. Chief of Station,4.7,1h 37m, (4.4K)
90,91. Take Cover,5.1,1h 30m, (2.3K)
91,92. No Way Up,4.6,1h 30m, (10K)
92,93. Agent Recon,2.4,1h 25m, (658)
93,94. Red Right Hand,5.5,1h 51m, (5.7K)
94,95. 11 Rebels,6.2,2h 35m, (257)
95,96. Watchmen: Chapter II,7.0,1h 30m, (2.8K)
96,97. Megamind vs. The Doom Syndicate,2.5,1h 23m, (5.5K)
97,98. Sunray: Fallen Soldier,4.3,1h 55m, (583)
98,99. Night Call,6.8,1h 37m, (1.7K)
99,100. Singham Again,4.8,2h 24m, (75K)
